FIPS,State,County,Unreliable,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Driving Deaths with Alcohol Involvement,Average Daily PM2.5,% Drive Alone to Work,% Long Commute - Drives Alone,Unnamed: 0,NatWalkInd,D4A,TotEmp,TotPop,D2A_JPHH,D5AR,CBSA_POP,CBSA_EMP,Pct_AO0,D4C,Pct_AO1,Pct_AO2p,D3APO,D3AAO,D4D
48065,Texas,Carson County,,13.5,3.2641795343,4.9053021888,5.540166205,34.5,8.0,21.0,60.513173756,21.052631579,5.9,80.996884735,34.7,41,5.4444444445,,714.5,1005.3333333333334,1.7346114561666666,4055.8333333333335,263412.0,119365.0,0.0111069465,,0.2783425186666666,0.7105505348333333,4.659123045666666,0.4919687028333333,
48067,Texas,Cass County,,19.1,4.0191196683,5.3470240275,8.8337684943,36.9,6.5,27.3,35.481830323,26.315789474,9.5,88.555731446,37.3,42,4.857142857214286,,242.9642857142857,1074.5357142857142,0.6140317032857142,3652.964285714286,0.0,0.0,0.0694180279642857,,0.2852497856071428,0.6453321863928572,2.641605934392857,0.7000946653928571,
48069,Texas,Castro County,,21.1,3.8684271604,4.71118809,7.874015748,38.2,8.1,31.0,60.45312712,37.5,6.1,80.035545024,16.1,43,5.142857142857143,,297.1428571428572,1112.428571428571,0.8151684437142858,1276.428571428571,0.0,0.0,0.0525210197142857,,0.3329316115714286,0.6145473687142857,0.9420925951428571,0.4383693608571428,
48071,Texas,Chambers County,,15.7,3.4776281325,4.821161646,7.5555555556,35.9,7.5,23.7,79.429258551,22.058823529,9.0,87.548390258,49.8,46,5.32499999995,,666.9,2014.6,0.94788794515,23182.8,6779104.0,2975382.0,0.04456041325,,0.262422399,0.5930171878,2.7059644887000003,0.90472810525,
48073,Texas,Cherokee County,,21.3,4.2524806712,5.2807904484,7.6804619827,41.8,6.6,31.2,56.456796001,29.032258065,9.2,78.411516505,33.8,50,4.952380952285715,,433.25714285714287,1482.942857142857,1.1122173517714284,6590.342857142857,51903.0,15164.0,0.0576395205714285,,0.3376204056571428,0.6047400738857144,3.5060714199714287,0.5355504385714286,
48075,Texas,Childress County,,20.4,3.9985070257,4.7763269743,8.8531187123,39.3,6.1,29.0,74.56482593,11.111111111,6.7,87.299930411,27.5,51,6.738095238714286,,246.57142857142856,1032.2857142857142,0.5415440824285714,1036.0,0.0,0.0,0.0644834744285714,,0.3559882547142857,0.436671128,6.651898193571428,0.3972092562857142,
48077,Texas,Clay County,,14.4,3.4132673885,4.9760876559,5.0083472454,33.7,5.7,22.2,6.9387355647,28.571428571,8.1,81.426448737,38.1,52,4.772727273,,113.54545454545456,944.2727272727273,0.3574804388181818,3816.363636363637,150994.0,53304.0,0.0185655319090909,,0.2929644965454546,0.6884699715454545,3.283015182363636,0.5487165596363636,
48079,Texas,Cochran County,x,27.7,4.7170879615,5.0324830069,6.8965517241,43.6,6.0,37.4,1.4919513153,0.0,6.0,79.69924812,37.3,54,5.5,,133.33333333333334,968.0,0.3798640389999999,834.3333333333334,0.0,0.0,0.0357061516666666,,0.34444166,0.6198521883333333,3.0037790590000006,0.3001694626666666,
48081,Texas,Coke County,x,17.9,3.7850305752,5.0815438769,6.9387755102,36.2,4.0,25.8,35.920852359,0.0,7.2,83.899556869,35.6,55,5.24999999975,,122.75,818.75,0.28926218225,963.5,0.0,0.0,0.036249108,,0.296111958,0.66763893425,3.78251856325,0.23107138625,
48083,Texas,Coleman County,,17.4,3.7415763916,5.0863164846,10.093457944,35.3,6.4,25.7,63.300364394,25.0,7.4,77.955851225,39.7,56,6.4848484848181815,,187.63636363636363,762.8181818181819,0.7362495583636364,1474.4545454545455,0.0,0.0,0.0464364374545454,,0.3168978217272727,0.6366657408181818,5.330501730363636,0.3544222821818181,
48085,Texas,Collin County,,10.9,2.65134454,3.9705534744,7.4898187284,28.0,8.3,19.1,92.357475351,28.417266187,9.9,72.170865549,46.4,57,9.859760394581397,625.2794594594594,919.8224101479916,1996.5116279069769,1.5323319535031712,246528.36152219877,7189384.0,3545715.0,0.0276720767420718,3.788231707317073,0.2729879772389006,0.6972257810803383,16.516604730099367,2.0190395602093023,14.736130594871952
48087,Texas,Collingsworth County,x,21.6,4.2116505572,5.2111230688,7.7981651376,38.7,7.4,29.7,81.938159879,25.0,6.5,77.529761905,22.4,58,7.333333334,,173.75,749.0,0.76714418225,631.25,0.0,0.0,0.07206550075,,0.242447965,0.68548653425,9.9063740505,0.46345366925,
48089,Texas,Colorado County,,18.9,3.8359141359,4.8170936356,8.5201793722,40.3,7.8,28.3,62.538308119,8.6956521739,9.3,84.296757817,32.7,59,6.509259259,,389.8888888888889,1167.888888888889,0.9956214039444444,2688.1111111111118,0.0,0.0,0.0529673089444444,,0.2908249106666666,0.6562077803888889,4.698894573333333,0.3993458947777777,
48091,Texas,Comal County,,13.2,2.9694437152,4.4621377744,7.6377372397,33.7,7.9,21.3,72.037944037,27.083333333,9.7,77.79617518,48.7,62,7.02604166671875,,849.296875,2110.890625,1.28259892725,43966.859375,2426204.0,979988.0,0.035400896421875,,0.267485423859375,0.697113679671875,7.74886179828125,1.042191778140625,
